CodigoVariable;Fecha;CodigoDuracion;UnidadMedida;CodigoPlanta;Configuracion;Valor
POF_Declarado;21/08/2025;PT1D;COP/kWh;PPA4;0;227.2
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSR1;2;1801.71
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;9;875.95
POF_Declarado;21/08/2025;PT1D;COP/kWh;DVS1;0;101.48
POF_Declarado;21/08/2025;PT1D;COP/kWh;GTRG;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;SOG1;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;TSR1;4;948.25
POF_Declarado;21/08/2025;PT1D;COP/kWh;GTPE;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;GEC3;0;272.65
POF_Declarado;21/08/2025;PT1D;COP/kWh;PES1;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;PRG1;0;896.83
POF_Declarado;21/08/2025;PT1D;COP/kWh;TYP5;0;94.5
POF_Declarado;21/08/2025;PT1D;COP/kWh;TCDT;4;705.53
POF_Declarado;21/08/2025;PT1D;COP/kWh;CUC1;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;2QEK;0;101.48
POF_Declarado;21/08/2025;PT1D;COP/kWh;TFL4;4;1534.69
POF_Declarado;21/08/2025;PT1D;COP/kWh;TVL1;3;1400
POF_Declarado;21/08/2025;PT1D;COP/kWh;CTG3;0;1463.35
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;8;1594.17
POF_Declarado;21/08/2025;PT1D;COP/kWh;EPFV;0;93.98
POF_Declarado;21/08/2025;PT1D;COP/kWh;CHBG;0;101.5
POF_Declarado;21/08/2025;PT1D;COP/kWh;HMLG;0;182
POF_Declarado;21/08/2025;PT1D;COP/kWh;TRM1;4;1958.64
POF_Declarado;21/08/2025;PT1D;COP/kWh;TBST;1;1659.69
POF_Declarado;21/08/2025;PT1D;COP/kWh;TRM1;2;2202.67
POF_Declarado;21/08/2025;PT1D;COP/kWh;SNCR;0;96.43
POF_Declarado;21/08/2025;PT1D;COP/kWh;PPA2;0;259.46
POF_Declarado;21/08/2025;PT1D;COP/kWh;3INX;0;88
POF_Declarado;21/08/2025;PT1D;COP/kWh;ZPA2;0;375
POF_Declarado;21/08/2025;PT1D;COP/kWh;TEC1;1;1486.46
POF_Declarado;21/08/2025;PT1D;COP/kWh;TFL4;1;973.35
POF_Declarado;24/07/2025;PT1D;COP/kWh;TCBE;0;890
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;10;753.77
POF_Declarado;24/07/2025;PT1D;COP/kWh;MRL1;0;928.58
POF_Declarado;24/07/2025;PT1D;COP/kWh;PGUG;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;CLL1;0;89
POF_Declarado;24/07/2025;PT1D;COP/kWh;TFL4;2;916.74
POF_Declarado;24/07/2025;PT1D;COP/kWh;TYP2;0;94
POF_Declarado;24/07/2025;PT1D;COP/kWh;PLYS;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TPUY;0;93.66
POF_Declarado;24/07/2025;PT1D;COP/kWh;TRM1;1;1934.43
POF_Declarado;24/07/2025;PT1D;COP/kWh;CTG3;0;1463.35
