FechaHora,CodigoPlanta,precio,cantidad,Fecha,cluster,EQpos,EdQb
2025-05-05 11:00:00,3INX,92.39,9000.0,2025-05-05,3,9570148.486555904,-134568.26033080867
2025-05-05 12:00:00,3INX,92.39,4000.0,2025-05-05,3,9620516.925986212,-134600.75213749413
2025-05-05 13:00:00,3INX,92.39,4272.31,2025-05-05,3,9722610.533832705,178350.82242934618
2025-05-05 14:00:00,3INX,92.39,15000.0,2025-05-05,3,9961190.533832705,178350.82242934618
2025-05-05 15:00:00,3INX,92.39,17000.0,2025-05-05,3,10008680.533832705,178350.82242934618
2025-05-05 16:00:00,3INX,92.39,10000.0,2025-05-05,3,9918200.533832705,178350.82242934618
2025-05-05 17:00:00,3INX,92.39,2000.0,2025-05-05,3,9744290.785308069,178349.62792136442
2025-05-06 06:00:00,3INX,92.39,2000.0,2025-05-06,9,6183896.684959054,1793617.5117074272
2025-05-06 07:00:00,3INX,92.39,6030.69,2025-05-06,9,8521390.615028705,-154636.3424019032
2025-05-06 08:00:00,3INX,92.39,7006.28,2025-05-06,9,8893147.665583955,180692.63143686016
2025-05-06 09:00:00,3INX,92.39,9000.0,2025-05-06,9,9121537.665583955,180692.63143686016
2025-05-06 10:00:00,3INX,92.39,18000.0,2025-05-06,9,9451242.470820084,180692.63143686016
2025-05-06 11:00:00,3INX,92.39,8000.0,2025-05-06,9,10123161.795281895,7.367928774048342
2025-05-06 12:00:00,3INX,92.39,7077.46,2025-05-06,9,10068421.795281895,7.367928774048342
2025-05-06 13:00:00,3INX,92.39,11000.0,2025-05-06,9,10216018.824343862,-1766.034320818762
2025-05-06 14:00:00,3INX,92.39,18069.13,2025-05-06,9,10351529.718477588,0.0001327102456655896
2025-05-06 15:00:00,3INX,92.39,18000.0,2025-05-06,9,10397129.718477588,0.0001327102456655896
2025-05-06 16:00:00,3INX,92.39,10000.0,2025-05-06,9,10313339.718497634,3.009658318638905e-16
2025-05-06 17:00:00,3INX,92.39,2000.0,2025-05-06,9,10167521.795281895,7.367928774048342
