FechaHora,precio,demanda
2025-07-24 21:00:00,182.0,10695690
2025-07-24 22:00:00,111.0,10111480
2025-07-24 23:00:00,110.0,9495830
2025-07-02 00:00:00,96.47,8658850
2025-07-02 01:00:00,96.47,8379760
2025-07-02 02:00:00,96.47,8163530
2025-07-02 03:00:00,96.47,8051770
2025-07-02 04:00:00,96.47,8128600
2025-07-02 05:00:00,96.47,8415980
2025-07-02 06:00:00,96.47,8666390
2025-07-02 07:00:00,96.47,9101920
2025-07-02 08:00:00,96.47,9475190
2025-07-02 09:00:00,96.47,9756120
2025-07-02 10:00:00,96.47,10038050
2025-07-02 11:00:00,97.6,10341640
2025-07-02 12:00:00,97.6,10303380
2025-07-02 13:00:00,97.6,10423240
2025-07-02 14:00:00,103.11,10615810
2025-07-02 15:00:00,103.47,10697390
2025-07-02 16:00:00,103.47,10594350
2025-07-02 17:00:00,103.47,10399660
2025-07-02 18:00:00,103.47,11264780
2025-07-02 19:00:00,450.0,11507290
2025-07-02 20:00:00,180.0,11260930
2025-07-02 21:00:00,103.47,10352490
2025-07-02 22:00:00,103.11,9728380
2025-07-02 23:00:00,97.6,9156630
2025-07-02 00:00:00,102.39,8658850
2025-07-02 01:00:00,102.39,8379760
2025-07-02 02:00:00,102.39,8163530
2025-07-02 03:00:00,102.39,8051770
2025-07-02 04:00:00,102.39,8128600
2025-07-02 05:00:00,102.39,8415980
2025-07-02 06:00:00,102.39,8666390
2025-07-02 07:00:00,102.39,9101920
2025-07-02 08:00:00,102.39,9475190
2025-07-02 09:00:00,102.39,9756120
2025-07-02 10:00:00,102.39,10038050
2025-07-02 11:00:00,103.52,10341640
2025-07-02 12:00:00,103.52,10303380
2025-07-02 13:00:00,103.52,10423240
2025-07-02 14:00:00,109.03,10615810
2025-07-02 15:00:00,109.39,10697390
2025-07-02 16:00:00,109.39,10594350
2025-07-02 17:00:00,109.39,10399660
2025-07-02 18:00:00,109.39,11264780
2025-07-02 19:00:00,455.92,11507290
2025-07-02 20:00:00,185.92,11260930
2025-07-02 21:00:00,109.39,10352490
2025-07-02 22:00:00,109.03,9728380
2025-07-02 23:00:00,103.52,9156630
2025-07-02 00:00:00,96.47,8658850
2025-07-02 01:00:00,96.47,8379760
2025-07-02 02:00:00,96.47,8163530
2025-07-02 03:00:00,96.47,8051770
2025-07-02 04:00:00,96.47,8128600
2025-07-02 05:00:00,96.47,8415980
2025-07-02 06:00:00,96.47,8666390
2025-07-02 07:00:00,96.47,9101920
2025-07-02 08:00:00,96.47,9475190
2025-07-02 09:00:00,96.47,9756120
2025-07-02 10:00:00,96.47,10038050
2025-07-02 11:00:00,97.6,10341640
2025-07-02 12:00:00,97.6,10303380
2025-07-02 13:00:00,97.6,10423240
2025-07-02 14:00:00,103.11,10615810
2025-07-02 15:00:00,103.47,10697390
2025-07-02 16:00:00,103.47,10594350
2025-07-02 17:00:00,103.47,10399660
2025-07-02 18:00:00,103.47,11264780
2025-07-02 19:00:00,450.0,11507290
2025-07-02 20:00:00,180.0,11260930
2025-07-02 21:00:00,103.47,10352490
2025-07-02 22:00:00,103.11,9728380
2025-07-02 23:00:00,97.6,9156630
2025-07-02 00:00:00,101.19,8658850
2025-07-02 01:00:00,101.19,8379760
2025-07-02 02:00:00,101.19,8163530
2025-07-02 03:00:00,101.19,8051770
2025-07-02 04:00:00,101.19,8128600
2025-07-02 05:00:00,101.19,8415980
2025-07-02 06:00:00,101.19,8666390
2025-07-02 07:00:00,101.19,9101920
2025-07-02 08:00:00,101.19,9475190
2025-07-02 09:00:00,101.19,9756120
2025-07-02 10:00:00,101.19,10038050
2025-07-02 11:00:00,102.31,10341640
2025-07-02 12:00:00,102.31,10303380
2025-07-02 13:00:00,102.31,10423240
2025-07-02 14:00:00,107.82,10615810
2025-07-02 15:00:00,108.19,10697390
2025-07-02 16:00:00,108.19,10594350
2025-07-02 17:00:00,108.19,10399660
2025-07-02 18:00:00,108.19,11264780
2025-07-02 19:00:00,454.71,11507290
2025-07-02 20:00:00,184.71,11260930
2025-07-02 21:00:00,108.19,10352490
2025-07-02 22:00:00,107.82,9728380
2025-07-02 23:00:00,102.31,9156630
2025-07-02 00:00:00,108.23,8658850
2025-07-02 01:00:00,108.23,8379760
2025-07-02 02:00:00,108.23,8163530
2025-07-02 03:00:00,108.23,8051770
2025-07-02 04:00:00,108.23,8128600
2025-07-02 05:00:00,108.23,8415980
2025-07-02 06:00:00,108.23,8666390
2025-07-02 07:00:00,108.23,9101920
2025-07-02 08:00:00,108.23,9475190
2025-07-02 09:00:00,108.23,9756120
2025-07-02 10:00:00,108.23,10038050
2025-07-02 11:00:00,109.36,10341640
2025-07-02 12:00:00,109.36,10303380
2025-07-02 13:00:00,109.36,10423240
2025-07-02 14:00:00,114.87,10615810
2025-07-02 15:00:00,115.23,10697390
2025-07-02 16:00:00,115.23,10594350
2025-07-02 17:00:00,115.23,10399660
2025-07-02 18:00:00,115.23,11264780
2025-07-02 19:00:00,461.76,11507290
2025-07-02 20:00:00,191.76,11260930
2025-07-02 21:00:00,115.23,10352490
2025-07-02 22:00:00,114.87,9728380
2025-07-02 23:00:00,109.36,9156630
2025-07-02 00:00:00,101.19,8658850
2025-07-02 01:00:00,101.19,8379760
2025-07-02 02:00:00,101.19,8163530
2025-07-02 03:00:00,101.19,8051770
2025-07-02 04:00:00,101.19,8128600
2025-07-02 05:00:00,101.19,8415980
2025-07-02 06:00:00,101.19,8666390
2025-07-02 07:00:00,101.19,9101920
2025-07-02 08:00:00,101.19,9475190
2025-07-02 09:00:00,101.19,9756120
2025-07-02 10:00:00,101.19,10038050
2025-07-02 11:00:00,102.31,10341640
2025-07-02 12:00:00,102.31,10303380
2025-07-02 13:00:00,102.31,10423240
2025-07-02 14:00:00,107.82,10615810
2025-07-02 15:00:00,108.19,10697390
2025-07-02 16:00:00,108.19,10594350
2025-07-02 17:00:00,108.19,10399660
2025-07-02 18:00:00,108.19,11264780
2025-07-02 19:00:00,454.71,11507290
2025-07-02 20:00:00,184.71,11260930
2025-07-02 21:00:00,108.19,10352490
2025-07-02 22:00:00,107.82,9728380
2025-07-02 23:00:00,102.31,9156630
2025-07-02 00:00:00,101.19,8658850
2025-07-02 01:00:00,101.19,8379760
2025-07-02 02:00:00,101.19,8163530
2025-07-02 03:00:00,101.19,8051770
2025-07-02 04:00:00,101.19,8128600
2025-07-02 05:00:00,101.19,8415980
2025-07-02 06:00:00,101.19,8666390
2025-07-02 07:00:00,101.19,9101920
2025-07-02 08:00:00,101.19,9475190
2025-07-02 09:00:00,101.19,9756120
2025-07-02 10:00:00,101.19,10038050
2025-07-02 11:00:00,102.31,10341640
2025-07-02 12:00:00,102.31,10303380
2025-07-02 13:00:00,102.31,10423240
2025-07-02 14:00:00,107.82,10615810
2025-07-02 15:00:00,108.19,10697390
2025-07-02 16:00:00,108.19,10594350
2025-07-02 17:00:00,108.19,10399660
2025-07-02 18:00:00,108.19,11264780
2025-07-02 19:00:00,454.71,11507290
2025-07-02 20:00:00,184.71,11260930
2025-07-02 21:00:00,108.19,10352490
2025-07-02 22:00:00,107.82,9728380
2025-07-02 23:00:00,102.31,9156630
2025-07-02 00:00:00,108.17,8658850
2025-07-02 01:00:00,108.17,8379760
2025-07-02 02:00:00,108.17,8163530
2025-07-02 03:00:00,108.17,8051770
2025-07-02 04:00:00,108.17,8128600
2025-07-02 05:00:00,108.17,8415980
2025-07-02 06:00:00,108.17,8666390
2025-07-02 07:00:00,108.17,9101920
2025-07-02 08:00:00,108.17,9475190
2025-07-02 09:00:00,108.17,9756120
2025-07-02 10:00:00,108.17,10038050
2025-07-02 11:00:00,109.3,10341640
2025-07-02 12:00:00,109.3,10303380
2025-07-02 13:00:00,109.3,10423240
2025-07-02 14:00:00,114.81,10615810
2025-07-02 15:00:00,115.17,10697390
2025-07-02 16:00:00,115.17,10594350
2025-07-02 17:00:00,115.17,10399660
2025-07-02 18:00:00,115.17,11264780
2025-07-02 19:00:00,461.7,11507290
2025-07-02 20:00:00,191.7,11260930
2025-07-02 21:00:00,115.17,10352490
2025-07-02 22:00:00,114.81,9728380
2025-07-02 23:00:00,109.3,9156630
2025-07-02 00:00:00,101.19,8658850
2025-07-02 01:00:00,101.19,8379760
2025-07-02 02:00:00,101.19,8163530
2025-07-02 03:00:00,101.19,8051770
2025-07-02 04:00:00,101.19,8128600
2025-07-02 05:00:00,101.19,8415980
2025-07-02 06:00:00,101.19,8666390
2025-07-02 07:00:00,101.19,9101920
2025-07-02 08:00:00,101.19,9475190
2025-07-02 09:00:00,101.19,9756120
2025-07-02 10:00:00,101.19,10038050
2025-07-02 11:00:00,102.31,10341640
2025-07-02 12:00:00,102.31,10303380
